	variables	precision	recall	f-score
0	['FirstCaps']	1.0	1.0	1.0
1	['FULLCAPS']	1.0	1.0	1.0
2	['FirstCaps', 'FULLCAPS']	0.9525406687138924	0.7970845197592458	0.8542348785322695
3	['FirstCaps', 'PrevToken']	0.4648673974250499	0.5998295474917117	0.5101469560992918
4	['FULLCAPS', 'PrevToken']	0.301408931958417	0.5227944707949805	0.34263863852383514
5	['FirstCaps', 'FULLCAPS', 'PrevToken']	0.4655962464417929	0.6010829230666873	0.511349066971663
6	['POS-Tag']	1.0	1.0	1.0
7	['POS-Tag', 'FirstCaps']	0.9602404073134748	0.7762097882349535	0.8383162526668698
8	['POS-Tag', 'FULLCAPS']	0.4997269900054602	0.47633055756698045	0.48774836355210566
9	['POS-Tag', 'FULLCAPS', 'FirstCaps']	0.9512796633464258	0.8109194567645527	0.8647673938599945
10	['POS-Tag', 'PrevToken']	0.289884559338258	0.5690982448809084	0.3322760023887572
11	['POS-Tag', 'FirstCaps', 'PrevToken']	0.4648248460741002	0.5989459505899587	0.5097991086695597
12	['POS-Tag', 'FULLCAPS', 'PrevToken']	0.3155727206758499	0.5374998204173821	0.3602848676817972
13	['POS-Tag', 'FULLCAPS', 'FirstCaps', 'PrevToken']	0.46558513237477145	0.6009202431239379	0.5112097283667384
14	['ChunkLabel']	0.6466705028042272	0.7092030010576562	0.5614930738912455
15	['FirstCaps', 'ChunkLabel']	0.5728212728102469	0.6510216568077809	0.5323612008523549
16	['FULLCAPS', 'ChunkLabel']	0.6842469669075162	0.6562844313216288	0.6368734779161785
17	['FirstCaps', 'FULLCAPS', 'ChunkLabel']	0.6008841180196447	0.6474405370349283	0.5866864952693644
18	['PrevToken', 'ChunkLabel']	0.46965606087889805	0.5526427593872482	0.4754487120948118
19	['FirstCaps', 'PrevToken', 'ChunkLabel']	0.5793903349843549	0.6072578914545891	0.5755318862718921
20	['FULLCAPS', 'PrevToken', 'ChunkLabel']	0.4601879092957477	0.5311326905360177	0.4682973221186893
21	['FirstCaps', 'FULLCAPS', 'PrevToken', 'ChunkLabel']	0.5695337692590793	0.5937995242534929	0.572692146003919
22	['POS-Tag', 'ChunkLabel']	0.6462117810963905	0.7073200509716194	0.5616086524372667
23	['POS-Tag', 'FirstCaps', 'ChunkLabel']	0.457596729264092	0.4866273539687593	0.4037147590499578
24	['POS-Tag', 'FULLCAPS', 'ChunkLabel']	0.5118851609552091	0.42461496798379017	0.44227657525229513
25	['POS-Tag', 'FULLCAPS', 'FirstCaps', 'ChunkLabel']	0.47938728537023484	0.46996843732830273	0.4418388342316074
26	['POS-Tag', 'PrevToken', 'ChunkLabel']	0.47136263378735377	0.5536257223881482	0.4773113537677926
27	['POS-Tag', 'FirstCaps', 'PrevToken', 'ChunkLabel']	0.579238596127898	0.6143992936436579	0.5797142629095083
28	['POS-Tag', 'FULLCAPS', 'PrevToken', 'ChunkLabel']	0.46055589966790983	0.5326449554262954	0.4686879384716634
29	['POS-Tag', 'FULLCAPS', 'FirstCaps', 'PrevToken', 'ChunkLabel']	0.5693401642394441	0.5952472989559995	0.5730831828237335
30	['token']	0.6624877354256363	0.7131585502211956	0.6858611213465315
31	['token', 'FirstCaps']	0.6785121980678704	0.7064948858661667	0.6907159929428536
32	['token', 'FULLCAPS']	0.662644175547137	0.713334074522404	0.6860354399119296
33	['token', 'FULLCAPS', 'FirstCaps']	0.6793104999083247	0.7059737470330115	0.6911519750489652
34	['token', 'PrevToken']	0.7332526551443842	0.8169704070378034	0.7666177501608709
35	['token', 'FirstCaps', 'PrevToken']	0.7511479912910425	0.8109348892672489	0.7733542499527539
36	['token', 'FULLCAPS', 'PrevToken']	0.7303817023836391	0.8141753532191335	0.7637132292098215
37	['token', 'FULLCAPS', 'FirstCaps', 'PrevToken']	0.7516487707813299	0.8108762255297773	0.7736491377436763
38	['token', 'POS-Tag']	0.6630115700852595	0.71361803815314	0.6863208954475856
39	['token', 'POS-Tag', 'FirstCaps']	0.6804547283108636	0.7061272852285745	0.6917597388926474
40	['token', 'FULLCAPS', 'POS-Tag']	0.6626359353064816	0.7126302745289427	0.6856654191758897
41	['token', 'FULLCAPS', 'POS-Tag', 'FirstCaps']	0.680995694078029	0.7056418625165835	0.6920442397651749
42	['token', 'POS-Tag', 'PrevToken']	0.7335284836922785	0.816016051371289	0.7663379046958635
43	['token', 'POS-Tag', 'FirstCaps', 'PrevToken']	0.752251773534271	0.8116262449297295	0.7742921746292177
44	['token', 'FULLCAPS', 'POS-Tag', 'PrevToken']	0.7318147542721639	0.8130400032322992	0.7640455831633468
45	['POS-Tag', 'FULLCAPS', 'FirstCaps', 'token', 'PrevToken']	0.7518639514749491	0.8104140449351386	0.773576009432236
46	['token', 'ChunkLabel']	0.6751066580196402	0.7074334641911753	0.689021924211218
47	['token', 'FirstCaps', 'ChunkLabel']	0.6864464258128414	0.712950519301168	0.698540355888559
48	['token', 'FULLCAPS', 'ChunkLabel']	0.6788845900191512	0.7078617019040117	0.6916466708941202
49	['token', 'FULLCAPS', 'FirstCaps', 'ChunkLabel']	0.6872118437230724	0.7123866937948806	0.6988019031060787
50	['token', 'PrevToken', 'ChunkLabel']	0.7440984342731184	0.8173768957662625	0.772684424110292
51	['token', 'FirstCaps', 'PrevToken', 'ChunkLabel']	0.7535141753740183	0.8188204330428951	0.7783815413504832
52	['token', 'FULLCAPS', 'PrevToken', 'ChunkLabel']	0.7436636725697393	0.8160146178619634	0.7718240374308712
53	['FULLCAPS', 'FirstCaps', 'token', 'PrevToken', 'ChunkLabel']	0.7550681186741989	0.8185604043258229	0.7791595681767145
54	['token', 'POS-Tag', 'ChunkLabel']	0.6773427747722364	0.7080549421501691	0.6906337204100971
55	['token', 'POS-Tag', 'FirstCaps', 'ChunkLabel']	0.6853786600556545	0.7132489008422388	0.6980501683279058
56	['token', 'FULLCAPS', 'POS-Tag', 'ChunkLabel']	0.6788324020577793	0.7076228374974297	0.6915045994982637
57	['POS-Tag', 'FULLCAPS', 'FirstCaps', 'token', 'ChunkLabel']	0.6855540816066646	0.7118983379972911	0.6976134278270183
58	['token', 'POS-Tag', 'PrevToken', 'ChunkLabel']	0.7434355111503553	0.817882779547439	0.7724816901743128
59	['POS-Tag', 'FirstCaps', 'token', 'PrevToken', 'ChunkLabel']	0.7536474418716267	0.818788899693846	0.7784109270875947
60	['POS-Tag', 'FULLCAPS', 'token', 'PrevToken', 'ChunkLabel']	0.7442375547586021	0.8168388714398539	0.7724815719823588
61	['POS-Tag', 'FULLCAPS', 'FirstCaps', 'token', 'PrevToken', 'ChunkLabel']	0.7558278950105363	0.8187543729391796	0.7796561128461459
